Name,Context,Description,Media Type
Mindful Walking,Has some free time and weather is nice outside,"1. Find a quiet place to walk (indoors or outdoors).
2. Walk slowly and focus on the sensation of each step.
3. Notice how your feet feel touching the ground.
4. Pay attention to your surroundings, sounds, and smells.
5. Walk for 10-15 minutes, maintaining focus on the present moment.",Audio
Self-Massage,Body tension,"1. Find a comfortable position.
2. Use your fingers to gently massage your temples in a circular motion.
3. Move to your neck and shoulders, applying gentle pressure.
4. Continue to other areas as needed (hands, feet, legs).
5. Spend 5-10 minutes focusing on areas of tension.",Audio
Binaural Beats,Access to headphones,"1. Listen to the audio track with headphones
3. Close your eyes and focus on the music.
3. Let the rhythm and melody wash over you, noticing how your body responds.",Audio
Acupressure,Bodily tension and physical pain such as headaches,"1. Identify the acupressure point in the space between your thumb and index finger (known as the Hegu point).
2. Apply gentle, firm pressure to the point using your thumb or finger.
3. Hold the pressure for 1-2 minutes, breathing deeply and focusing on the sensation.
4. Repeat on the other hand",
Nature sounds,Access to headphones,"1. Listen to this recording of nature sounds.
2. Close your eyes and focus on the sounds, imagining yourself in the natural environment.
4. Listen for 10-15 minutes, allowing yourself to relax and unwind.",Audio
Alternate nostril breathing,Stress and anxiety,"1. Exhale fully and slowly through your mouth, making a ""whooshing"" sound.
2. Bring your right hand up to your nose, with your thumb over your right nostril and your index finger over your left.
3. Close your right nostril with your thumb and inhale through your left nostril.
4. Close your left nostril with your index finger and hold your breath for a couple of beats.
5. Open your right nostril and exhale through it.
6. Repeat the cycle, inhaling through your right nostril and then exhaling through your left.
7. Continue for up to 20 breaths or until you feel relaxed.
8. End the practice by exhaling on your left side. ",Audio
Loving Kindness Meditation,"Need for more self compassion, too critical of one self","1. Close your eyes, relax your muscles, and take a few deep breaths. 
2. Focus on breath and imagine that you are breathing out tension and breathing in feelings of love.
3. Repeat three or four positive, reassuring phrases to yourself such as:
• May I be happy
• May I be safe
• May I be healthy, peaceful, and strong
• May I give and receive appreciation today
4. Next, bask in feelings of warmth and self-compassion for a few moments. If your attention drifts, gently redirect it back to these feelings of loving kindness. Let these feelings envelop you.
5. Begin to shift your focus to loved ones in your life. Begin with someone who you are very close to, such as a spouse, a child, a parent, or a best friend. Feel your gratitude and love for them. Stay with that feeling. You may want to repeat the reassuring phrases.
6. Once you've held these feelings toward that person, bring other important people from your life into your awareness, one by one, and envision them with perfect wellness and inner peace. Then branch out to other friends, family members, neighbors, and acquaintances. You may even want to include groups of people around the world. 
7. Extend feelings of loving kindness to people around the globe and focus on a feeling of connection and compassion. You may even want to include those with whom you are in conflict to help reach a place of forgiveness or greater peace. 
8. When you feel that your meditation is complete, open your eyes. ",Audio
Gratitude practice,Too critical of one’s self,"1. Write down three to five things you are grateful for today. (eg. grateful for the roof over my head, grateful for the food that I eat, grateful for hot water for a shower)
2. Be specific and reflect on why you are grateful for these things.
3. Feel the gratitude for each of these things
",Text
Energetic Shaking,Bodily tension,"1. Stand with your feet shoulder-width apart.
2. Start by shaking your hands, then your arms, shoulders, and whole body.
3. Shake vigorously for 1-2 minutes, letting go of tension and stress.
4. Take a few deep breaths and notice how you feel.",Text
Solo Dancing,In a place where other’s cannot see or hear you,"1. Listen to this song
2. Let go and dance however you feel, focusing on the music and your movements.
3. Allow yourself to enjoy the freedom and energy.
",Audio
"Self Hug ","Need for more self compassion, too critical of one’s self","1. Wrap your arms around yourself, giving yourself a gentle hug.
2. Hold the hug for a few moments, focusing on the warmth and pressure.
3. Take deep breaths and think kind, supportive thoughts about yourself.
4. Spend 1-2 minutes in this self-hug whenever you need comfort.",Text
Mirror gazing,"Need for more self compassion, too critical of one’s self","1. Look at yourself in a mirror
2. While looking into your own eyes say “I love you” or “I love myself”
3. Feel the love and self compassion.
4. Repeat this ten times.",Text
